,N7_AP_197,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7-AP-260,N7_AP_298,N7_AP_299,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_3,N7_AP_9,N7_AP_20,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_26,N7_AP_27,N7_AP_20-2F
N7_AP_322,0.8720496894409938,0.8494826638629358,0.9367593457718649,0.9595043139237068,0.8952224255592577,0.8346492193340013,0.9168662078829021,0.8304078527929054,0.0,0.9180139892214196,0.8799639110704138,0.0,0.8722018722018722,0.9364512631975868,0.7930075787710226,0.0,0.84140625,0.9233300344270476,0.8847305389221557,0.9191030296604554,0.7961061874561469,0.929936305732484,0.0,0.0,0.9080385584076216,0.8843886887034139,0.9191863881132224,0.952700546405614,0.8760781738890845,0.8779586610948797,0.6292392515478564,0.9231466890199904,0.9040748553701256,0.9586340301723296,0.8805137936081926,0.9080227945426608,0.8866670892703278,0.8236076732673269,0.0,0.0,0.8054522924411399,0.8535494538259291,0.0,0.7865853658536586,0.0,0.0,0.0,0.8259763455952729,0.8353658536585366,0.9085304370372504,0.0,0.7413988931351624,0.7504610500930414,0.8310941110708711,0.7531404689905227,0.7723159193279558,0.7752001939907968,0.8197300598225556,0.7560092488571946,0.8483720374271223,0.0,0.9149603039666464,0.7771930873647073,0.7880350262003111,0.7499616103191462,0.8986372774463686,0.8343558282208589,0.0,0.9206687455808108,0.817766179225052,0.8067374698275304
N7_AP_323,0.862663906142167,0.8631163362459212,0.9068207623443632,0.9227495678882758,0.8833800027685276,0.8492055950064112,0.8657142324767927,0.7854791291416265,0.858419148870609,0.8080167910957968,0.8368719037508846,0.8477103301384453,0.8623055132758329,0.8966592479250707,0.8814312180531685,0.0,0.8242077464788732,0.8924355752936365,0.8343313373253494,0.8964402152304716,0.8432262765540048,0.8207862173461659,0.9618379561104318,0.0,0.9109584567172626,0.9047829123585736,0.892286794217396,0.9320465367621577,0.8970771244219774,0.8872672581566555,0.9227301647795491,0.619121166122008,0.9073715939677088,0.913417835406347,0.8928420503330129,0.9451464420681536,0.8873894733509431,0.8953125,0.81875,0.7802065404475044,0.8178438661710037,0.8793775706049595,0.0,0.7987804878048781,0.8197226502311248,0.0,0.0,0.8895830638226633,0.0,0.8665264613523092,0.8274074074074073,0.8096512427092694,0.7475603947865614,0.8079239659049022,0.7555111783841888,0.7754605673349114,0.7883715969830735,0.8033045711390872,0.7718921289276658,0.8451795016632402,0.8275074539107197,0.881764465273979,0.7639239370926272,0.8903152952363971,0.850609756097561,0.8803845581320097,0.8512269938650306,0.0,0.9488255690111156,0.796847853248851,0.7891328822174795
N7_AP_324,0.9192546583850932,0.0,0.9111912331997836,0.9195966971240922,0.8841846291875542,0.920331293446876,0.8924942934501178,0.8300902479736728,0.8930264464651875,0.934640522875817,0.8577494692144375,0.8796592119275825,0.8518518518518519,0.8324307397583259,0.8854992076069731,0.9119455333195792,0.875,0.9052969502407704,0.8049286043298018,0.8931352214594322,0.9000456412596988,0.9210191082802548,0.0,0.0,0.9089784185412092,0.9632156620675244,0.8920136970393209,0.9217224079846176,0.9375397245483184,0.9431651316558792,0.9163379395304022,0.9237726599809812,0.6082349080319507,0.8983500990610059,0.9313748229197544,0.9117797500465096,0.9404025869873368,0.93125,0.90625,0.8644578313253012,0.8240396530359355,0.8743959805136723,0.851581508515815,0.8262195121951219,0.8489984591679507,0.0,0.0,0.9076510591452264,0.8902439024390244,0.8122516613099691,0.8736231884057971,0.8238212194427746,0.7742052336557637,0.8463542200961474,0.8055366090962237,0.7890726564843805,0.814477589364044,0.8119890784381313,0.7943505241636312,0.8685254629724581,0.8478483080042791,0.8892853974777866,0.0,0.8839559002704228,0.8739837398373984,0.9065366137720192,0.8609406952965236,0.0,0.9208255257832316,0.8246835387957745,0.8000058029789724
N7_AP_325,0.8666783308546934,0.8771695062406908,0.941021888593142,0.9478015502074979,0.9115718847934476,0.8352597052021478,0.9239454893201814,0.8131633245841808,0.8472139116473509,0.910439851616322,0.8795089270981156,0.9179978700745474,0.8642736045905058,0.813203114512015,0.8963496274970439,0.0,0.8490131578947369,0.8993385039790864,0.7385739469965179,0.8899557683270947,0.8838130484437569,0.8771013887438655,0.9277302271703456,0.0,0.85639783743303,0.8883907388706511,0.9342750849666588,0.931803118507686,0.8849989245675386,0.8661089306792793,0.944798295314052,0.8962070917901971,0.875693537278417,0.6382611695704675,0.8840766055356296,0.8919779706866791,0.8711529554976151,0.875,0.86796875,0.0,0.0,0.8577959685215806,0.0,0.8292682926829268,0.0,0.8998345208330323,0.0,0.901274119619616,0.8353658536585366,0.7874368499004468,0.8927536231884058,0.8110433966121617,0.7511820184492807,0.8225627159682639,0.7502809260828522,0.7741652938681183,0.7859534314036112,0.7972187357459071,0.7631982664378522,0.8201686427344259,0.8366963144714924,0.8496059965404574,0.0,0.876536606143453,0.8616900254823444,0.9055648625140054,0.8680981595092024,0.9084772031860416,0.9074352265531542,0.7961556389703729,0.803240228641794
N7_AP_326,0.8148126343057314,0.8652138243048421,0.8845442449572382,0.8979494796755914,0.8399205461932452,0.9047492291173286,0.8698796546780844,0.7979766413598524,0.0,0.9117647058823528,0.8545647558386413,0.8594249201277955,0.7540807026265639,0.7855029585798816,0.8670644168919549,0.0,0.8287405303030303,0.8809962181528662,0.7475049900199601,0.8687412198160469,0.878440782956876,0.8683651804670913,0.8936224982302593,0.0,0.9106429899660631,0.9216238781893388,0.8503355585456053,0.9094244288886251,0.9554416587731992,0.8933980388330051,0.8926693033816993,0.8926167114470511,0.9498017993173278,0.882843390935812,0.6257367278816388,0.9325183175097518,0.9017925841771584,0.8640625,0.0,0.8253012048192772,0.8178438661710037,0.0,0.0,0.8048780487804879,0.0,0.0,0.0,0.8838438182496139,0.7987804878048781,0.7965198352107401,0.0,0.7968820812804001,0.7475304077426611,0.8041662372707205,0.7653975757338666,0.7470322128789847,0.7998159128756854,0.7823680313304109,0.7617840881513124,0.8283260814377258,0.0,0.8371575570307072,0.0,0.8680574128554872,0.8372850859656137,0.8734531313266696,0.8251533742331288,0.0,0.907470841569444,0.7873661060027731,0.7792576200919632
N7_AP_329,0.8518544809228038,0.8564742907260053,0.8958613242432758,0.8983245799195446,0.8670827959755601,0.8411240514416529,0.8768464659163453,0.8019009898355711,0.8360939454463788,0.9065873540427408,0.8436037142199371,0.8443633044272022,0.8490646694709483,0.8902814423922604,0.8818439490134952,0.8541603846947358,0.8340681189488244,0.8852780207783569,0.8176899213620951,0.8572953539423177,0.8774232320955904,0.8809496236247829,0.9072655898062938,0.7674463539125044,0.8886606493247748,0.8892370436289907,0.8654960454469891,0.9142261102492982,0.8951335141368391,0.8651170762662335,0.8985178989801376,0.9308023073621304,0.886854966207627,0.8952656788316227,0.9210347360196891,0.6224469947481035,0.8754902639965725,0.8625,0.8375,0.8433734939759037,0.8116480793060719,0.0,0.8090024330900243,0.0,0.8197226502311248,0.0,0.0,0.8948971800940054,0.8170731707317073,0.8711935697617471,0.8895652173913043,0.8007680806138214,0.7389570741574157,0.8091792082192354,0.7460074024378306,0.7587454969011264,0.7803450571136041,0.7879106223906781,0.7487757121726454,0.7984762246050517,0.8187382335535508,0.8104487384825653,0.7582371584045925,0.8860756985924143,0.8507209578174808,0.8849709253008166,0.8205521472392638,0.8925390066389179,0.9462286691454356,0.7746444289727252,0.7875255749145835
N7_AP_330,0.8695652173913043,0.8746525205699858,0.8996922369558233,0.8979642835821219,0.8781891359093679,0.9008930969678756,0.8328470132303686,0.7871535122392439,0.8966135654929323,0.8860838779956427,0.8683651804670913,0.8562300319488818,0.8672839506172839,0.8985042735042734,0.8824088748019017,0.0,0.84375,0.8901565854841753,0.0,0.8666428110725298,0.8017780247256564,0.7907361122309119,0.8390501319261213,0.0,0.8922588983555261,0.9115325402419584,0.8578282313065484,0.9109561947181892,0.9022924395563104,0.8876035463579472,0.8967122282799707,0.8985028169239708,0.936020919361018,0.902822312704082,0.9187320278144578,0.8944675497767968,0.6092536115004543,0.86875,0.0,0.7517806030752846,0.8240396530359355,0.8917680860867916,0.0,0.8109756097560976,0.0,0.0,0.8525728091942014,0.9161536451793736,0.8150406504065042,0.8711935697617471,0.8268794043345301,0.8100041960515899,0.7546982785749816,0.8175148313857565,0.7718357698792713,0.772602773220462,0.8027656484954804,0.7950376830240776,0.7663467749430962,0.8236036979788802,0.8414087408176597,0.8713907656825205,0.7698597717815971,0.9078036313928264,0.8540971082564653,0.8744370267153788,0.8251533742331288,0.8925390066389179,0.9186767675866828,0.7977843353749622,0.7992794640940991
N7_AP_334,0.8297992352443481,0.7586194811504855,0.7702862098872506,0.7631556283060585,0.0,0.0,0.0,0.8492740086868669,0.0,0.8760042699028036,0.8678186289966576,0.8657965437118792,0.8043142780461621,0.8932480345305996,0.8620499879438459,0.9428432111850032,0.8102355072463769,0.8504288747346073,0.8485065796550612,0.7629848311895265,0.8337903448969838,0.9130373742001272,0.8537119076731664,0.8340478776737292,0.0,0.824816042065307,0.0,0.8082256044495209,0.0,0.0,0.7869885671488489,0.9039169025381316,0.0,0.9414352251164396,0.0,0.0,0.0,0.625,0.8735722610722612,0.8878430827191242,0.8266286068330678,0.8286315790479217,0.9023239063820256,0.8277787058692505,0.8057298908890477,0.9266955412647052,0.9036095577691504,0.7882893650455441,0.8048844605165294,0.8706479128084047,0.7811594202898551,0.7484445218855952,0.7038486958306132,0.7584580158698828,0.6956595991917769,0.7171421297306592,0.6939762316402434,0.7393421668192379,0.6980632941062435,0.7087939025838128,0.0,0.8959671757215069,0.8498207454153797,0.8077349562756744,0.7867632113821138,0.8876301694276171,0.7837211629500196,0.884761780715442,0.9463458210038524,0.7614689538232979,0.7455694222012312
N7_AP_335,0.9483172668086236,0.8410951032898055,0.8848742411101475,0.8716506765150225,0.8372860495370253,0.0,0.0,0.7941859648801511,0.0,0.906265854895992,0.9284363001354482,0.9532840273242368,0.8513786978802702,0.8934204433640099,0.915404707401538,0.9815757809405772,0.8819507575757577,0.9048919398550028,0.859946027228055,0.8688841222035982,0.9014569105465924,0.9489255966962972,0.863245302142995,0.8754084421671064,0.8526369692384344,0.85873704812427,0.0,0.8805623543862203,0.8447243298764123,0.8025200184612008,0.8652351213363001,0.8431545823773002,0.8231445755365732,0.8799378989132309,0.8593451062907841,0.8740934226248368,0.8453393859568803,0.9059533664459162,0.625,0.8423925058030285,0.7991410561315201,0.8556153258400298,0.9001260830376633,0.8018356199186991,0.7937934892485254,1.0,0.9330255033393976,0.8754626977302399,0.8982803808301241,0.8532941594516538,0.8842512077294685,0.8041936091405613,0.674370506365603,0.7807061176687328,0.6702536595647905,0.7396063545873354,0.7471288012697761,0.7712752793946666,0.6765879585897879,0.7006022455588173,0.0,0.8628809308045436,0.8713398942698486,0.8672299983878434,0.8593397131887985,0.8982695865020438,0.9229373408929272,0.8891453753040212,0.8786996197246879,0.8790780330787288,0.7632356961953317
N7_AP_336,0.8836533032185205,0.8532836955230106,0.0,0.0,0.0,0.8003150282809479,0.0,0.7523688377299242,0.0,0.8261710239651416,0.8533725692070103,0.8541716338435619,0.843811027900895,0.8786089238845144,0.8840546431219908,0.9118150051254243,0.8475017289073307,0.8805607101660063,0.8239745674214485,0.8638226832184195,0.8864701599850784,0.8604033970276007,0.9170555556897794,0.8748006561311933,0.8651298186045653,0.8607455287461822,0.0,0.8783279855862064,0.8587770451608628,0.8236664848518102,0.8819836842529121,0.7760244763729642,0.839364173084092,0.8808004140072451,0.0,0.8645097149279215,0.7478624960926642,0.9396192142088268,0.8500485033259423,0.6024096385542169,0.8312680710450228,0.8532779312849053,0.854660844925723,0.8674983953786906,0.8241879923482244,0.8921821050590208,0.9151452491703274,0.8840279733051267,0.8482645403377109,0.8569960297654688,0.7808140096618358,0.7821236341528692,0.7197340889921883,0.8301992211356929,0.7115111144417441,0.7515094087970078,0.7521130702594272,0.779467128540107,0.7300021805359457,0.7569270130546558,0.8193905817174514,0.9031148566828798,0.810517347199798,0.8739872141415895,0.8458394420009774,0.8930119743115039,0.8448165630568742,0.8894279263522087,0.8840447211210988,0.7652895877539123,0.7788994708874329
N7_AP_337,0.8463687941255535,0.8446981976370315,0.0,0.8555605252344536,0.0,0.7702011885157873,0.0,0.7773654619209391,0.7488971506256416,0.8844912916997242,0.8771889360041162,0.8599486722882732,0.8379982469432931,0.8634770650341586,0.8635280014431834,0.8856406024344956,0.75109375,0.8502106367988957,0.8032019584524331,0.8505489911738865,0.8489852317534478,0.8628145764947138,0.923182529978334,0.8543984038631823,0.8432673322138362,0.8419997096083343,0.0,0.8512371600232573,0.8431629170670291,0.8015096760631784,0.8321689101720402,0.8407665435936869,0.8126954117319218,0.8616525789201311,0.8405730044543347,0.846009207028464,0.8285849116406179,0.8574562641083521,0.839399895178197,0.8371073580034425,0.6195786864931846,0.8996280659532803,0.8348089096457586,0.9081010452961672,0.9061911136931976,0.92912752819734,0.9208880481841762,0.8703383713257317,0.8716312308895683,0.890960970059089,0.8617827876185364,0.7799016153047071,0.7710976043956366,0.7536626038985764,0.761002099890758,0.7460705264388585,0.7488965374491287,0.7876253438208237,0.7737158250765316,0.7875904803778683,0.8033240997229916,0.9684122148432814,0.8511534953463133,0.8390924348329675,0.8243164272752437,0.8115502040861396,0.8637900224228007,0.8703078162138169,0.8580202110434928,0.7393098318967789,0.7760021527193117
N7_AP_338,0.8499400405879097,0.8784279990760433,0.0,0.874857037915091,0.8070377267045891,0.7936152650375643,0.873538668680607,0.7919925461474996,0.7484827370401809,0.9150853889943074,0.8689683458791739,0.861706983112734,0.8451185244970556,0.8900712813756292,0.8697979472960904,0.9121491430888642,0.89375,0.8481953290870491,0.8170755263666215,0.8888859437538102,0.7933411804271061,0.8743707622765564,0.9891241392625008,0.0,0.8557601815799671,0.8560590739617202,0.9157171903172592,0.8948025348859746,0.8216501183599688,0.811466263939968,0.8746160094721303,0.8571581011806653,0.8426619637883227,0.8949839955532556,0.8072003789673141,0.8714257926473449,0.8499087880431337,0.8840251272264631,0.8338194444444443,0.8478897451960199,0.8750120839814741,0.6369772043477082,0.8655573751155512,0.8686949672264891,0.8747621493384204,0.8270110461298319,0.9054345186593966,0.981461516923456,0.8082039911308205,0.9231128482426274,0.9647481021394064,0.8024687437118023,0.7881590399871319,0.8457493340054065,0.7662513260395412,0.7947966021414051,0.7885759869131301,0.8679779672581944,0.7673221362178085,0.7872829110785713,0.7649503215372594,0.8972436298356428,0.8782913751519863,0.8487952785163999,0.8054323725055432,0.9563463178254268,0.8059149106428382,0.9014465220923572,0.8975946726491085,0.8574598408346913,0.8131365277518321
