,N7_AP_197,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7-AP-260,N7_AP_298,N7_AP_299,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_3,N7_AP_9,N7_AP_20,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_26,N7_AP_27,N7_AP_20-2F
N7_AP_299,79,200,200,200,200,200,200,200,200,72,200,76,75,72,66,82,77,67,76,84,74,82,84,200,200,200,200,200,200,200,81,200,200,200,200,200,200,200,82,83,200,200,82,82,80,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,73,82,71,200,200,200,200
N7_AP_300,69,200,200,200,200,200,200,200,200,74,76,200,73,73,71,68,74,80,72,81,77,77,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,75,75,72,200,84,200,200,73,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,75,74,60,200,200,200,200
N7_AP_301,200,72,200,200,200,200,200,200,200,66,75,73,200,71,75,85,66,77,82,69,80,84,85,200,200,200,90,200,200,200,200,200,200,200,200,200,200,83,82,200,76,80,200,83,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,78,81,72,200,200,200,200
N7_AP_302,200,85,200,200,200,200,200,200,200,70,72,73,71,200,72,200,68,74,84,78,78,200,90,200,200,200,200,200,200,200,200,200,200,200,200,200,200,82,81,76,200,83,200,76,200,97,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,200,200,80,85,80,200,200,200,200
N7_AP_303,74,85,200,200,200,200,200,200,200,72,66,71,75,72,200,75,77,71,72,83,68,79,79,200,200,200,200,200,200,200,200,200,200,200,200,200,200,80,76,79,84,80,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,73,73,68,200,200,200,200
N7_AP_304,71,200,200,200,200,200,200,200,200,84,82,68,85,200,75,200,73,86,73,200,80,72,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,78,73,78,200,200,79,86,86,71,200,200,88,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,81,83,67,90,200,200,200
N7_AP_305,83,76,200,200,200,200,200,200,200,63,77,74,66,68,77,73,200,82,86,73,83,200,79,106,200,200,200,200,200,200,200,200,200,200,200,200,200,200,82,80,200,200,86,200,200,84,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,92,200,82,90,76,200,200,200,200
N7_AP_306,76,200,200,200,200,200,200,200,200,72,67,80,77,74,71,86,82,200,78,80,67,200,84,200,200,200,86,200,200,200,200,200,200,81,200,200,200,83,83,200,200,200,200,200,200,200,200,200,85,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,68,76,81,82,200,200,200
N7_AP_307,77,200,200,200,200,200,200,200,200,82,76,72,82,84,72,73,86,78,200,200,75,69,83,200,200,200,200,200,200,200,200,200,200,200,200,200,200,87,78,83,200,200,200,200,200,80,83,200,85,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,69,79,69,84,200,200,200
N7_AP_308,200,65,200,200,200,200,89,200,200,75,84,81,69,78,83,200,73,80,200,200,83,200,200,111,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,108,109,200,85,200,200,200,200,200
