,N6_AP-193,N6_AP_120,N6_AP_121,N6_AP_122,N6_AP_123,N6_AP_124,N6_AP_125,N6_AP_126,N6_AP_127,N6_AP_128,N6_AP_129,N6_AP_130,N6_AP_131,N6_AP_132,N6_AP_133,N6_AP_134,N6_AP_135,N6_AP_136,N6_AP_137,N6_AP_138,N6_AP_139,N6_AP_140,N6_AP_141,N6_AP_142,N6_AP_143,N6_AP_144,N6_AP_145,N6_AP_147,N6_AP_148,N6_AP_149,N6_AP_15,N6_AP_150,N6_AP_151,N6_AP_152,N6_AP_153,N6_AP_154,N6_AP_155,N6_AP_156,N6_AP_157,N6_AP_158,N6_AP_159,N6_AP_160,N6_AP_161,N6_AP_162,N6_AP_163,N6_AP_164,N6_AP_165,N6_AP_166,N6_AP_167,N6_AP_168,N6_AP_169,N6_AP_170,N6_AP_171,N6_AP_173,N6_AP_174,N6_AP_175,N6_AP_177,N6_AP_178,N6_AP_180,N6_AP_181,N6_AP_182,N6_AP_183,N6_AP_184,N6_AP_185,N6_AP_186,N6_AP_187,N6_AP_188,N6_AP_189,N6_AP_190,N6_AP_191,N6_AP_192,N6_AP_193,N6_AP_194,N6_AP_195,N6_AP_412,N6_AP_414,N6_AP_418,N6_AP_419,N6_AP_58,N6_AP_60,N6_AP_62,N6_AP_63,N6_AP_66,N6_AP_91,N6_AP_92,N6_AP_94,N6_AP_95,N6_AP_96,N6_AP_97,N7-AP-260,N7-AP-327,N7_AP_196,N7_AP_197,N7_AP_20,N7_AP_20-2F,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7_AP_26,N7_AP_27,N7_AP_298,N7_AP_299,N7_AP_3,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_9,nkg6aaaphw46,nkg6aaaphw48,nkg6baaphw43,nkg6baaphw44
N6_AP_139,96,83,100,70,81,98,70,81,94,94,78,81,89,92,66,81,92,93,79,82,,,90,,,,,,,100,78,,,,,,,,,,,,,,,,97,85,92,85,,91,84,86,82,78,90,77,92,83,73,81,,,,,,,,,,,,,,,,,,,,,,,97,,75,64,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_140,,,,,,,,,97,100,,95,96,97,100,,98,100,,,,,100,95,94,93,92,85,89,84,,75,92,86,89,79,89,91,81,81,91,89,75,69,78,91,,,,,,,,,,,,,,,,,,,,100,,93,,,,,,,,,,,92,,94,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_141,,89,86,94,88,82,91,87,78,75,87,77,64,77,94,90,66,81,87,82,90,100,,,,,,91,,96,97,,100,,,,100,,95,99,,,,,,,,100,,98,,,93,98,96,97,100,92,,98,97,98,,,,,,,,,,,,,,,,,,,,,,,79,,95,91,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_142,,,,99,,,,,,,,,,,,,,,,,,95,,,74,73,70,87,78,87,,97,71,79,86,97,79,86,98,94,86,81,,98,,,,,,,,,,,,,,100,,,,,,,,93,,88,,100,96,99,94,91,,,,,68,100,70,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_143,,,,100,100,,,,,,,,,,,,,,,,,94,,74,,70,78,83,73,84,,92,79,66,83,96,77,83,95,92,76,76,,97,99,,,,,,,,,,,,,,,,,,,,97,89,,86,100,97,93,98,92,90,,,,,68,99,68,,,,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_144,99,,,97,,,,,,,,98,,,,,98,,,,,93,,73,70,,74,86,71,84,,94,76,73,84,90,72,84,94,92,80,81,,96,98,,,,,,,,,,98,,,,,,,,,98,98,90,,87,100,96,95,97,93,92,,,,,68,97,70,,99,,99,100,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_145,95,,,,,,,,,,,,,,,,,,,,,92,,70,78,74,,81,79,90,,94,65,79,82,94,76,83,92,92,82,82,,95,93,,,,,,,,,,,,,,,,,,,,95,87,,85,,96,92,100,95,89,,,,,72,,,,,,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_147,100,99,,,,,,,88,92,,92,77,95,100,,92,97,100,100,,85,91,87,83,86,81,,76,70,,87,81,76,73,85,78,73,79,81,82,76,99,89,92,97,,99,,,,,99,,,,,,,,,,,,98,91,,83,100,100,96,96,97,95,,,,,78,,85,99,99,,76,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_148,94,,,,,,,,,,,,,,,,,,,,,89,,78,73,71,79,76,,85,,93,74,74,82,93,69,84,90,91,75,77,,88,94,99,,,,,,,,,,,,,,,,,,,97,90,,83,,94,91,98,96,93,,,,,71,,76,,,,88,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_149,,,,100,99,,,,,93,,99,95,96,,,99,,100,,100,84,96,87,84,84,90,70,85,,,88,85,73,73,86,83,71,84,85,86,77,97,85,90,100,,,,,,,,,,,,99,,,,,,,,100,,95,,,,,100,99,,,,,84,99,87,,,,80,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
