,N7_AP_197,N7_AP_212,N7_AP_298,N7_AP_299,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_313,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_359,N7_AP_3,N7_AP_9,N7_AP_20,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84
17,0.8654767411127263,0.8335270996767347,0.9817430103565434,0.9118115399025852,0.8701192595663733,0.8538902708678829,0.9581178625296272,0.9560673233164156,0.9227626008449732,0.8420193829113923,0.0,0.8884931021169425,0.9786851497854478,0.9466197640067621,0.7782246105859025,0.8806582840236686,0.8739388173302107,0.8546124797698256,0.7709713916276063,0.7791410796587931,0.7794107976589728,0.7729200809794659,0.8107147090197938,0.8797550655344819,0.8231217640903076,0.9756717474184048,0.8109756097560976,0.7661836305493935,0.0,0.0,0.849881100176032,0.7762638751607801,0.7925428689282497,0.9323904992976628,0.9780105804409692,0.8300238842317239,0.8499165107198855
19,0.8317779885567421,1.0,0.9652735760971056,0.8504386492008172,0.8003485332558815,0.8580311822513014,0.9374746244417378,0.8661057743711347,0.8160608504536333,0.8478242793791575,0.8803178704482635,0.0,0.8381626351924268,0.7964085641930779,0.0,0.7789772727272728,0.780472972972973,0.7657689581856839,0.8983890954151177,0.9427262624346082,0.8941605839416058,0.8719512195121951,0.8320493066255779,0.0,0.7982891471855819,0.8258136685665585,0.8414634146341463,0.945867304312754,0.0,0.0,0.9554177323733348,0.9730710199525604,0.9411904549641912,0.8021619616911733,0.8868112199320214,0.8006837446728797,0.827574390630312
20,0.8636912348851168,0.8350213194567002,0.9729668238603456,0.9114442055630344,0.8869098331558395,0.8472504172869579,0.941338073691015,0.9597102488415648,0.9641042656893292,0.8289022842639593,0.98467858480972,0.8247078272016475,0.0,0.9526543776314368,0.7816533093182609,0.8518679511278195,0.8458376826722338,0.8022605887467396,0.7758202683045095,0.7855367265229963,0.7750294391583887,0.7476656202205587,0.7763510814358272,0.9036264827213,0.8162417831178443,0.0,0.8034922394678491,0.7651948363948516,0.0,0.8960153419987213,0.8103557845597775,0.7809348536026443,0.8051987682386853,0.9283456941152484,1.0,0.8326459623682743,0.8119211216927583
21,0.9227467218771568,0.8564445391223325,0.8841230936819171,0.914034160692354,0.927810991961816,0.8768167789001123,0.9197746697746698,0.9330441414299854,1.0,0.8904979674796747,0.9111427339960456,0.8787770877198239,0.9293225058322102,0.0,0.9048024246882704,0.9023995535714284,0.9163618995633188,0.8195030120481928,0.8794244541587227,0.8611931802781015,0.8639878586398786,0.8798130868717888,0.8541727684464762,0.989102804974714,0.9138478035234356,0.8927715335854686,0.8808397723210604,0.8919966894465339,0.872988047808765,0.0,0.8911294515349975,0.807700285534892,0.880133908435055,0.9141579810592032,0.9683021292299128,0.9168691950972794,0.9208140973072502
23,0.8332191861700871,0.0,0.8341503267973857,0.8106320431161196,0.8945686900958466,0.7685185185185185,0.8625356125356125,0.8305211149436001,0.7963241365319487,0.88125,0.8147075854082223,0.0,0.8902284646452469,0.8525710734814356,0.0,0.8644578313253012,0.7848958333333333,0.8232470110326363,0.7496902106567533,0.0,0.8076269424983799,0.7475609756097561,0.7981510015408321,0.8683717753493597,0.8420896158651229,0.0,0.8400192554557125,0.8649707585491629,0.0,0.0,0.7584211771315366,1.0,1.0,0.8459277003484321,0.8351427046288016,0.8235016517225106,0.8549291414981889
37,0.8297992352443481,0.7586194811504855,0.8760042699028036,0.8678186289966576,0.8657965437118792,0.8043142780461621,0.8932480345305996,0.8620499879438459,0.9428432111850032,0.8102355072463769,0.8504288747346073,0.7629848311895265,0.8337903448969838,0.9130373742001272,0.8340478776737292,0.0,0.8735722610722612,0.8878430827191242,0.8266286068330678,0.8286315790479217,0.9023239063820256,0.8277787058692505,0.8057298908890477,0.9266955412647052,0.9036095577691504,0.7882893650455441,0.8048844605165294,0.8706479128084047,0.7811594202898551,0.0,0.8959671757215069,0.8498207454153797,0.8077349562756744,0.7867632113821138,0.8876301694276171,0.7837211629500196,0.884761780715442
38,0.9483172668086236,0.8410951032898055,0.9062658548959921,0.9284363001354482,0.9532840273242368,0.8513786978802702,0.8934204433640099,0.9154047074015379,0.9815757809405772,0.8819507575757577,0.9048919398550028,0.8688841222035982,0.9014569105465924,0.9489255966962972,0.8754084421671064,0.9059533664459162,0.0,0.8423925058030285,0.7991410561315201,0.8556153258400298,0.9001260830376633,0.8018356199186991,0.7937934892485254,1.0,0.9330255033393976,0.8754626977302399,0.8982803808301241,0.8532941594516538,0.8842512077294685,0.0,0.8628809308045436,0.8713398942698486,0.8672299983878434,0.8593397131887985,0.8982695865020438,0.9229373408929272,0.8891453753040212
39,0.8836533032185205,0.8532836955230106,0.8261710239651416,0.8533725692070103,0.8541716338435619,0.843811027900895,0.8786089238845144,0.8840546431219908,0.9118150051254243,0.8475017289073307,0.8805607101660063,0.8638226832184195,0.8864701599850784,0.8604033970276007,0.8748006561311933,0.9396192142088268,0.8500485033259423,0.0,0.8312680710450228,0.8532779312849053,0.854660844925723,0.8674983953786906,0.8241879923482244,0.8921821050590208,0.9151452491703274,0.8840279733051267,0.8482645403377109,0.8569960297654688,0.7808140096618358,0.8193905817174514,0.9031148566828798,0.810517347199798,0.8739872141415895,0.8458394420009774,0.8930119743115039,0.8448165630568742,0.8894279263522087
40,0.8463687941255535,0.8446981976370315,0.8844912916997242,0.8771889360041162,0.8599486722882732,0.8379982469432931,0.8634770650341586,0.8635280014431834,0.8856406024344956,0.75109375,0.8502106367988957,0.8505489911738865,0.8489852317534478,0.8628145764947138,0.8543984038631823,0.8574562641083521,0.839399895178197,0.8371073580034425,0.0,0.8996280659532803,0.8348089096457586,0.9081010452961672,0.9061911136931976,0.9291275281973399,0.9208880481841762,0.8703383713257317,0.8716312308895683,0.890960970059089,0.8617827876185364,0.8033240997229916,0.9684122148432814,0.8511534953463133,0.8390924348329675,0.8243164272752437,0.8115502040861396,0.8637900224228007,0.8703078162138169
41,0.8499400405879097,0.8784279990760433,0.9150853889943074,0.8689683458791739,0.861706983112734,0.8451185244970556,0.8900712813756292,0.8697979472960904,0.9121491430888642,0.89375,0.8481953290870491,0.8888859437538102,0.7933411804271061,0.8743707622765564,0.0,0.8840251272264631,0.8338194444444443,0.8478897451960199,0.8750120839814741,0.0,0.8655573751155512,0.8686949672264891,0.8747621493384204,0.8270110461298319,0.9054345186593966,0.9814615169234558,0.8082039911308205,0.9231128482426274,0.9647481021394064,0.7649503215372594,0.8972436298356428,0.8782913751519863,0.8487952785163999,0.8054323725055432,0.9563463178254268,0.8059149106428382,0.9014465220923572
